property_id,property_name,city,property_type,max_guests,bedrooms,beds,bathrooms,living_room,kitchen,balcony,terrace,ac,wifi,parking,pool,tv,workspace,washing_machine,fridge,microwave,power_backup,price_per_night,price_3hr,price_6hr,price_9hr,cleaning_fee,service_fee_percent,estimated_total_1_night,estimated_total_3hr,estimated_total_6hr,estimated_total_9hr,rating,review_count,verified,available,available_from,available_to,hairdryer,heating,iron,hot_tub,ev_charger,breakfast,gym,bbq_grill,self_check_in,instant_book,free_cancellation,allows_pets,smoke_alarm,carbon_monoxide_alarm,step_free_access,accessible_parking,wide_guest_entry,step_free_bedroom,step_free_bathroom,host_languages,verification_score,verification_status
VST011,Urban Comfort Villa 011,Udaipur,Entire Home,5,2,4,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,4500,1250,2150,2900,350,8,5210,1700,2672,3482,4.7,137,1,1,2026-10-14,2027-01-23,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST012,Green Garden Villa 012,Pune,Apartment,2,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,2900,800,1400,1900,250,8,3382,1114,1762,2302,4.5,166,1,1,2026-10-16,2027-01-26,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,"English,Hindi,Punjabi",1.0,Verified
VST013,City View Villa 013,Chennai,Villa,6,4,5,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5300,1500,2550,3450,400,8,6124,2020,3154,4126,4.2,195,1,0,2026-10-18,2027-01-29,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST014,Family Stay Villa 014,Rishikesh,Homestay,6,3,5,2,1,1,1,0,1,1,1,0,1,1,1,1,1,0,2800,800,1350,1800,200,8,3224,1064,1658,2144,4.8,34,1,1,2026-10-20,2027-02-01,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,"English,Hindi,Bengali",1.0,Verified
VST015,Lake View Villa 015,Ayodhya,Studio,3,2,2,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,2300,700,1100,1500,200,8,2684,956,1388,1820,4.5,63,1,1,2026-10-22,2027-02-04,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,"English,Hindi,Marathi",1.0,Verified
VST016,Modern Retreat Villa 016,Amritsar,Entire Home,3,1,2,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,2600,750,1250,1700,200,8,3008,1010,1550,2036,4.3,92,0,1,2026-10-24,2027-02-07,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Tamil",0.6,Needs  Review
VST017,Cozy Corner Villa 017,Shimla,Apartment,7,4,6,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,4200,1200,2000,2750,350,8,4886,1646,2510,3320,4.9,121,1,1,2026-10-26,2027-02-10,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,"English,Hindi,Telugu",0.7,Needs  Review
VST018,Heritage Home Villa 018,Jodhpur,Villa,4,3,3,2,1,1,0,0,1,1,1,1,0,1,1,1,0,1,4700,1300,2250,3050,400,8,5476,1804,2830,3694,4.6,150,1,1,2026-10-28,2027-02-13,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,"English,Hindi,Punjabi",1.0,Verified
VST019,Premium Residence Villa 019,Kochi,Homestay,4,2,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,3500,1000,1700,2300,300,8,4080,1380,2136,2784,4.4,179,1,1,2026-10-30,2027-02-16,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,"English,Hindi",0.7,Needs  Review
VST020,Hill View Villa 020,Mysuru,Studio,4,1,3,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,2400,700,1150,1550,200,8,2792,956,1442,1874,4.1,18,1,1,2026-11-01,2027-02-19,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,"English,Hindi,Bengali",1.0,Verified
VST021,Urban Comfort Apartment 021,Delhi,Entire Home,5,4,4,2,1,1,0,1,1,1,1,0,1,1,1,1,0,0,4600,1300,2200,3000,350,8,5318,1754,2726,3590,4.7,47,1,1,2026-11-03,2027-02-22,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,"English,Hindi,Marathi",1.0,Verified
VST022,Green Garden Apartment 022,Mumbai,Apartment,5,3,4,2,1,1,1,0,1,0,1,0,1,1,1,1,1,1,5400,1500,2600,3500,450,8,6282,2070,3258,4230,4.5,76,1,1,2026-11-05,2027-02-25,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Tamil",1.0,Verified
VST023,City View Apartment 023,Bengaluru,Villa,5,2,4,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,5500,1550,2650,3600,450,8,6390,2124,3312,4338,4.2,105,1,1,2026-09-23,2027-01-14,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST024,Family Stay Apartment 024,Jaipur,Homestay,2,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,2400,700,1150,1550,200,8,2792,956,1442,1874,4.8,134,0,1,2026-09-25,2027-01-17,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,"English,Hindi,Punjabi",0.6,Needs  Review
VST025,Lake View Apartment 025,Goa,Studio,6,4,5,2,0,0,1,0,1,1,1,0,1,0,1,0,0,1,4800,1350,2300,3100,400,8,5584,1858,2884,3748,4.5,163,1,1,2026-09-27,2027-01-20,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST026,Modern Retreat Apartment 026,Varanasi,Entire Home,6,3,5,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,3000,850,1450,1950,250,8,3490,1168,1816,2356,4.3,192,1,0,2026-09-29,2027-01-23,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Bengali",1.0,Verified
VST027,Cozy Corner Apartment 027,Manali,Apartment,3,2,2,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,3600,1000,1750,2350,300,8,4188,1380,2190,2838,4.9,31,1,1,2026-10-01,2027-01-26,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,"English,Hindi,Marathi",1.0,Verified
VST028,Heritage Home Apartment 028,Hyderabad,Villa,3,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,4100,1150,1950,2650,350,8,4778,1592,2456,3212,4.6,60,1,1,2026-10-03,2027-01-29,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,"English,Hindi,Tamil",1.0,Verified
VST029,Premium Residence Apartment 029,Kolkata,Homestay,7,4,6,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3200,900,1550,2100,250,8,3706,1222,1924,2518,4.4,89,1,1,2026-10-05,2027-02-01,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST030,Hill View Apartment 030,Agra,Studio,4,3,3,2,0,1,0,0,1,1,1,0,1,0,1,1,0,1,2500,700,1200,1600,200,8,2900,956,1496,1928,4.1,118,1,1,2026-10-07,2027-02-04,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"English,Hindi,Punjabi",1.0,Verified
VST031,Urban Comfort Retreat 031,Udaipur,Entire Home,4,2,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,4400,1250,2100,2850,350,8,5102,1700,2618,3428,4.7,147,1,1,2026-10-09,2027-01-07,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST032,Green Garden Retreat 032,Pune,Apartment,4,1,3,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,2900,800,1400,1900,250,8,3382,1114,1762,2302,4.5,176,0,1,2026-10-11,2027-01-10,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Bengali",0.6,Needs  Review
VST033,City View Retreat 033,Chennai,Villa,5,4,4,2,1,1,0,1,1,0,1,0,1,1,1,1,0,1,5300,1500,2550,3450,400,8,6124,2020,3154,4126,4.2,15,1,1,2026-10-13,2027-01-13,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,"English,Hindi,Marathi",1.0,Verified
VST034,Family Stay Retreat 034,Rishikesh,Homestay,5,3,4,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2700,750,1300,1750,200,8,3116,1010,1604,2090,4.8,44,1,1,2026-10-15,2027-01-16,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,"English,Hindi,Tamil",0.7,Needs  Review
VST035,Lake View Retreat 035,Ayodhya,Studio,5,2,4,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,2200,700,1050,1450,200,8,2576,956,1334,1766,4.5,73,1,1,2026-10-17,2027-01-19,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,"English,Hindi,Telugu",1.0,Verified
VST036,Modern Retreat Retreat 036,Amritsar,Entire Home,2,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,2500,700,1200,1600,200,8,2900,956,1496,1928,4.3,102,1,1,2026-10-19,2027-01-22,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,"English,Hindi,Punjabi",1.0,Verified
VST037,Cozy Corner Retreat 037,Shimla,Apartment,6,4,5,2,1,1,1,0,0,1,1,0,1,1,1,1,1,1,4100,1150,1950,2650,350,8,4778,1592,2456,3212,4.9,131,1,1,2026-10-21,2027-01-25,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST038,Heritage Home Retreat 038,Jodhpur,Villa,6,3,5,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4600,1300,2200,3000,350,8,5318,1754,2726,3590,4.6,160,1,1,2026-10-23,2027-01-28,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,"English,Hindi,Bengali",0.7,Needs  Review
VST039,Premium Residence Retreat 039,Kochi,Homestay,3,2,2,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,3400,950,1650,2200,250,8,3922,1276,2032,2626,4.4,189,1,0,2026-10-25,2027-01-31,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,"English,Hindi,Marathi",1.0,Verified
VST040,Hill View Retreat 040,Mysuru,Studio,3,1,2,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,2300,700,1100,1500,200,8,2684,956,1388,1820,4.1,28,0,1,2026-10-27,2027-02-03,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,"English,Hindi,Tamil",0.6,Needs  Review
VST041,Urban Comfort Residence 041,Delhi,Entire Home,7,4,6,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4500,1250,2150,2900,350,8,5210,1700,2672,3482,4.7,57,1,1,2026-10-29,2027-02-06,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST042,Green Garden Residence 042,Mumbai,Apartment,4,3,3,2,1,1,0,0,1,1,1,0,1,1,1,1,0,0,5400,1500,2600,3500,450,8,6282,2070,3258,4230,4.5,86,1,1,2026-10-31,2027-02-09,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,"English,Hindi,Punjabi",1.0,Verified
VST043,City View Residence 043,Bengaluru,Villa,4,2,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,5500,1550,2650,3600,450,8,6390,2124,3312,4338,4.2,115,1,1,2026-11-02,2027-02-12,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST044,Family Stay Residence 044,Jaipur,Homestay,4,1,3,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,2400,700,1150,1550,200,8,2792,956,1442,1874,4.8,144,1,1,2026-11-04,2027-02-15,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Bengali",1.0,Verified
VST045,Lake View Residence 045,Goa,Studio,5,4,4,2,0,0,0,0,1,1,1,0,0,0,1,0,0,1,4700,1300,2250,3050,400,8,5476,1804,2830,3694,4.5,173,1,1,2026-09-22,2027-01-04,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,"English,Hindi,Marathi",1.0,Verified
VST046,Modern Retreat Residence 046,Varanasi,Entire Home,5,3,4,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2900,800,1400,1900,250,8,3382,1114,1762,2302,4.3,12,1,1,2026-09-24,2027-01-07,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Tamil",1.0,Verified
VST047,Cozy Corner Residence 047,Manali,Apartment,5,2,4,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,3500,1000,1700,2300,300,8,4080,1380,2136,2784,4.9,41,1,1,2026-09-26,2027-01-10,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST048,Heritage Home Residence 048,Hyderabad,Villa,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,4000,1100,1900,2600,300,8,4620,1488,2352,3108,4.6,70,0,1,2026-09-28,2027-01-13,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,"English,Hindi,Punjabi",0.6,Needs  Review
VST049,Premium Residence Residence 049,Kolkata,Homestay,6,4,5,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,3200,900,1550,2100,250,8,3706,1222,1924,2518,4.4,99,1,1,2026-09-30,2027-01-16,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,"English,Hindi",1.0,Verified
VST050,Hill View Residence 050,Agra,Studio,6,3,5,2,0,1,1,0,1,1,1,0,1,0,1,1,1,1,2400,700,1150,1550,200,8,2792,956,1442,1874,4.1,128,1,1,2026-10-02,2027-01-19,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,"English,Hindi,Bengali",1.0,Verified
VST051,Urban Comfort Stay 051,Udaipur,Entire Home,3,2,2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,5000,1400,2400,3250,400,8,5800,1912,2992,3910,4.7,157,1,1,2026-10-04,2027-01-22,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,"English,Hindi,Marathi",0.7,Needs  Review
VST052,Green Garden Stay 052,Pune,Apartment,3,1,2,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,2800,800,1350,1800,200,8,3224,1064,1658,2144,4.5,186,1,0,2026-10-06,2027-01-25,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Tamil",1.0,Verified
VST053,City View Stay 053,Chennai,Villa,7,4,6,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5200,1450,2500,3400,400,8,6016,1966,3100,4072,4.2,25,1,1,2026-10-08,2027-01-28,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST054,Family Stay Stay 054,Rishikesh,Homestay,4,3,3,2,1,1,0,0,1,1,1,0,0,1,1,1,0,1,2700,750,1300,1750,200,8,3116,1010,1604,2090,4.8,54,1,1,2026-10-10,2027-01-31,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,"English,Hindi,Punjabi",1.0,Verified
VST055,Lake View Stay 055,Ayodhya,Studio,4,2,3,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,2100,700,1000,1350,150,8,2418,906,1230,1608,4.5,83,1,1,2026-10-12,2027-02-03,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST056,Modern Retreat Stay 056,Amritsar,Entire Home,4,1,3,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,3200,900,1550,2100,250,8,3706,1222,1924,2518,4.3,112,0,1,2026-10-14,2027-02-06,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,"English,Hindi,Bengali",0.6,Needs  Review
VST057,Cozy Corner Stay 057,Shimla,Apartment,5,4,4,2,1,1,0,0,1,1,1,0,1,1,1,1,0,1,4100,1150,1950,2650,350,8,4778,1592,2456,3212,4.9,141,1,1,2026-10-16,2027-02-09,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"English,Hindi,Marathi",0.7,Needs  Review
VST058,Heritage Home Stay 058,Jodhpur,Villa,5,3,4,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4600,1300,2200,3000,350,8,5318,1754,2726,3590,4.6,170,1,1,2026-10-18,2027-02-12,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Tamil",1.0,Verified
VST059,Premium Residence Stay 059,Kochi,Homestay,5,2,4,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,3300,900,1600,2150,250,8,3814,1222,1978,2572,4.4,9,1,1,2026-10-20,2027-02-15,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST060,Hill View Stay 060,Mysuru,Studio,2,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,2300,700,1100,1500,200,8,2684,956,1388,1820,4.1,38,1,1,2026-10-22,2027-02-18,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,"English,Hindi,Punjabi",1.0,Verified
VST061,Urban Comfort House 061,Delhi,Entire Home,6,4,5,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5200,1450,2500,3400,400,8,6016,1966,3100,4072,4.7,67,1,1,2026-10-24,2027-02-21,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST062,Green Garden House 062,Mumbai,Apartment,6,3,5,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,5300,1500,2550,3450,400,8,6124,2020,3154,4126,4.5,96,1,1,2026-10-26,2027-01-24,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Bengali",1.0,Verified
VST063,City View House 063,Bengaluru,Villa,3,2,2,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,5400,1500,2600,3500,450,8,6282,2070,3258,4230,4.2,125,1,1,2026-10-28,2027-01-27,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,"English,Hindi,Marathi",1.0,Verified
VST064,Family Stay House 064,Jaipur,Homestay,3,1,2,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,2300,700,1100,1500,200,8,2684,956,1388,1820,4.8,154,0,1,2026-10-30,2027-01-30,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Tamil",0.6,Needs  Review
VST065,Lake View House 065,Goa,Studio,7,4,6,2,0,0,1,0,1,1,1,0,1,0,1,0,0,1,4600,1300,2200,3000,350,8,5318,1754,2726,3590,4.5,183,1,0,2026-11-01,2027-02-02,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST066,Modern Retreat House 066,Varanasi,Entire Home,4,3,3,2,1,1,0,0,1,0,1,0,1,1,1,1,0,1,3600,1000,1750,2350,300,8,4188,1380,2190,2838,4.3,22,1,1,2026-11-03,2027-02-05,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,"English,Hindi,Punjabi",1.0,Verified
VST067,Cozy Corner House 067,Manali,Apartment,4,2,3,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,3400,950,1650,2200,250,8,3922,1276,2032,2626,4.9,51,1,1,2026-11-05,2027-02-08,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST068,Heritage Home House 068,Hyderabad,Villa,4,1,3,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,4000,1100,1900,2600,300,8,4620,1488,2352,3108,4.6,80,1,1,2026-09-23,2026-12-28,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,"English,Hindi,Bengali",0.7,Needs  Review
VST069,Premium Residence House 069,Kolkata,Homestay,5,4,4,2,1,1,0,1,1,1,1,0,1,1,1,1,0,1,3100,850,1500,2000,250,8,3598,1168,1870,2410,4.4,109,1,1,2026-09-25,2026-12-31,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,"English,Hindi,Marathi",1.0,Verified
VST070,Hill View House 070,Agra,Studio,5,3,4,2,0,1,1,0,1,1,1,0,1,0,1,1,1,0,2400,700,1150,1550,200,8,2792,956,1442,1874,4.1,138,1,1,2026-09-27,2027-01-03,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,"English,Hindi,Tamil",1.0,Verified
VST071,Urban Comfort Suites 071,Udaipur,Entire Home,5,2,4,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,5000,1400,2400,3250,400,8,5800,1912,2992,3910,4.7,167,1,1,2026-09-29,2027-01-06,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Telugu",1.0,Verified
VST072,Green Garden Suites 072,Pune,Apartment,2,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,2800,800,1350,1800,200,8,3224,1064,1658,2144,4.5,196,0,1,2026-10-01,2027-01-09,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,"English,Hindi,Punjabi",0.6,Needs  Review
VST073,City View Suites 073,Chennai,Villa,6,4,5,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5100,1450,2450,3300,400,8,5908,1966,3046,3964,4.2,35,1,1,2026-10-03,2027-01-12,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi",1.0,Verified
VST074,Family Stay Suites 074,Rishikesh,Homestay,6,3,5,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,2600,750,1250,1700,200,8,3008,1010,1550,2036,4.8,64,1,1,2026-10-05,2027-01-15,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,"English,Hindi,Bengali",1.0,Verified
VST075,Lake View Suites 075,Ayodhya,Studio,3,2,2,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,2100,700,1000,1350,150,8,2418,906,1230,1608,4.5,93,1,1,2026-10-07,2027-01-18,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,"English,Hindi,Marathi",1.0,Verified
VST076,Modern Retreat Suites 076,Amritsar,Entire Home,3,1,2,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,3100,850,1500,2000,250,8,3598,1168,1870,2410,4.3,122,1,1,2026-10-09,2027-01-21,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"English,Hindi,Tamil",0.7,Needs  Review
VST077,Cozy Corner Suites 077,Shimla,Apartment,7,4,6,2,1,1,1,0,0,0,1,0,1,1,1,1,1,0,4000,1100,1900,2600,300,8,4620,1488,2352,3108,4.9,151,1,1,2026-10-11,2027-01-24,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,"English,Hindi,Telugu",1.0,Verified
